pdb,query,seed,sample,data_file,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,ipTM,pTM,ranking_confidence,format,del_G_B
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-7_sample-0/model.cif,6x97,7,0,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-7_sample-0/confidences.json,"[0.18, 0.5, 0.48]","[[0.84, 0.2, 0.16], [0.2, 0.84, 0.81], [0.16, 0.81, 0.83]]","[[0.76, 22.14, 23.31], [21.81, 0.76, 1.46], [22.71, 1.43, 0.76]]","[0.84, 0.84, 0.83]",0.0,0.0,0.29,0.64,0.36,AF3,116.39262806892452
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-7_sample-1/model.cif,6x97,7,1,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-7_sample-1/confidences.json,"[0.22, 0.52, 0.5]","[[0.84, 0.24, 0.2], [0.24, 0.83, 0.8], [0.2, 0.8, 0.83]]","[[0.76, 20.95, 21.24], [20.05, 0.76, 1.38], [20.74, 1.4, 0.76]]","[0.84, 0.83, 0.83]",0.01,0.0,0.32,0.65,0.39,AF3,123.55181112138507
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-7_sample-2/model.cif,6x97,7,2,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-7_sample-2/confidences.json,"[0.13, 0.47, 0.47]","[[0.84, 0.13, 0.14], [0.13, 0.84, 0.8], [0.14, 0.8, 0.84]]","[[0.76, 23.05, 22.28], [21.77, 0.76, 1.57], [22.89, 1.53, 0.76]]","[0.84, 0.84, 0.84]",0.0,0.0,0.28,0.63,0.35,AF3,213.13597944141355
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-7_sample-3/model.cif,6x97,7,3,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-7_sample-3/confidences.json,"[0.11, 0.46, 0.46]","[[0.84, 0.11, 0.11], [0.11, 0.84, 0.81], [0.11, 0.81, 0.84]]","[[0.76, 24.21, 24.5], [21.37, 0.76, 1.48], [22.26, 1.47, 0.76]]","[0.84, 0.84, 0.84]",0.0,0.0,0.27,0.62,0.34,AF3,237.70124123253615
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-7_sample-4/model.cif,6x97,7,4,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-7_sample-4/confidences.json,"[0.16, 0.49, 0.48]","[[0.84, 0.18, 0.15], [0.18, 0.84, 0.8], [0.15, 0.8, 0.84]]","[[0.76, 22.63, 22.67], [21.97, 0.76, 1.47], [22.38, 1.45, 0.76]]","[0.84, 0.84, 0.84]",0.0,0.0,0.29,0.64,0.36,AF3,176.46237380529357
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-8_sample-0/model.cif,6x97,8,0,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-8_sample-0/confidences.json,"[0.14, 0.48, 0.47]","[[0.84, 0.16, 0.13], [0.16, 0.84, 0.8], [0.13, 0.8, 0.83]]","[[0.76, 24.77, 25.64], [22.93, 0.76, 1.42], [23.48, 1.49, 0.76]]","[0.84, 0.84, 0.83]",0.0,0.0,0.29,0.63,0.35,AF3,16.626296709708583
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-8_sample-1/model.cif,6x97,8,1,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-8_sample-1/confidences.json,"[0.12, 0.46, 0.45]","[[0.84, 0.12, 0.11], [0.12, 0.83, 0.79], [0.11, 0.79, 0.83]]","[[0.76, 25.57, 26.37], [23.45, 0.76, 1.54], [23.88, 1.59, 0.76]]","[0.84, 0.83, 0.83]",0.0,0.0,0.27,0.62,0.34,AF3,50.14762552489759
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-8_sample-2/model.cif,6x97,8,2,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-8_sample-2/confidences.json,"[0.13, 0.47, 0.46]","[[0.84, 0.14, 0.12], [0.14, 0.83, 0.8], [0.12, 0.8, 0.83]]","[[0.76, 25.23, 26.2], [23.41, 0.76, 1.46], [24.17, 1.49, 0.76]]","[0.84, 0.83, 0.83]",0.0,0.0,0.28,0.63,0.35,AF3,-4.590541493119758
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-8_sample-3/model.cif,6x97,8,3,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-8_sample-3/confidences.json,"[0.13, 0.47, 0.46]","[[0.84, 0.14, 0.12], [0.14, 0.84, 0.8], [0.12, 0.8, 0.84]]","[[0.76, 24.96, 26.11], [23.09, 0.76, 1.47], [23.71, 1.44, 0.76]]","[0.84, 0.84, 0.84]",0.0,0.0,0.28,0.62,0.35,AF3,102.58480747771574
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-8_sample-4/model.cif,6x97,8,4,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-8_sample-4/confidences.json,"[0.1, 0.45, 0.45]","[[0.84, 0.11, 0.1], [0.11, 0.83, 0.8], [0.1, 0.8, 0.83]]","[[0.76, 25.48, 27.41], [22.06, 0.76, 1.49], [22.46, 1.52, 0.76]]","[0.84, 0.83, 0.83]",0.0,0.0,0.27,0.62,0.34,AF3,54.184168559503235
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-9_sample-0/model.cif,6x97,9,0,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-9_sample-0/confidences.json,"[0.1, 0.45, 0.45]","[[0.84, 0.11, 0.1], [0.11, 0.85, 0.79], [0.1, 0.79, 0.83]]","[[0.76, 26.59, 27.36], [21.98, 0.76, 1.84], [23.15, 1.92, 0.76]]","[0.84, 0.85, 0.83]",0.0,0.0,0.27,0.62,0.34,AF3,77.37821820241732
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-9_sample-1/model.cif,6x97,9,1,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-9_sample-1/confidences.json,"[0.1, 0.44, 0.44]","[[0.84, 0.11, 0.1], [0.11, 0.85, 0.78], [0.1, 0.78, 0.84]]","[[0.76, 25.95, 27.2], [22.85, 0.76, 2.33], [25.01, 2.12, 0.76]]","[0.84, 0.85, 0.84]",0.0,0.0,0.26,0.62,0.33,AF3,70.75160074427225
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-9_sample-2/model.cif,6x97,9,2,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-9_sample-2/confidences.json,"[0.1, 0.44, 0.44]","[[0.84, 0.1, 0.1], [0.1, 0.84, 0.78], [0.1, 0.78, 0.83]]","[[0.76, 28.02, 28.41], [22.16, 0.76, 2.24], [22.84, 2.25, 0.76]]","[0.84, 0.84, 0.83]",0.0,0.0,0.26,0.61,0.33,AF3,9.70371985714371
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-9_sample-3/model.cif,6x97,9,3,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-9_sample-3/confidences.json,"[0.1, 0.45, 0.44]","[[0.84, 0.11, 0.1], [0.11, 0.85, 0.79], [0.1, 0.79, 0.84]]","[[0.76, 25.62, 26.92], [22.84, 0.76, 2.18], [24.73, 2.0, 0.76]]","[0.84, 0.85, 0.84]",0.0,0.0,0.26,0.62,0.33,AF3,42.78960708049436
/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-9_sample-4/model.cif,6x97,9,4,/home/cseomoon/project/ABAG/2025_H_L_A/20250504_seeds_10/af3_results/6x97/seed-9_sample-4/confidences.json,"[0.1, 0.44, 0.44]","[[0.84, 0.1, 0.09], [0.1, 0.85, 0.79], [0.09, 0.79, 0.84]]","[[0.76, 28.52, 29.0], [23.04, 0.76, 2.12], [23.83, 2.25, 0.76]]","[0.84, 0.85, 0.84]",0.0,0.0,0.26,0.61,0.33,AF3,8.212175317600781
